user_id,subscription_age_days,is_premium,listening_hours,completion_rate,skip_rate,active_days,is_churned
32,176,1,1.901618333333333333333333333,0.5781878009438515,0.0,7,0
8,96,1,1.1849375,0.5307318799729858,0.0,3,0
63,201,1,0.3471552777777777777777777778,0.6863521060773304,0.0,1,0
60,252,1,1.218134166666666666666666667,0.6464682651623603,0.0,4,0
25,269,1,1.256868888888888888888888889,0.45217349521211675,0.0,5,0
5,346,1,2.708863333333333333333333333,0.5117074459791183,0.0,8,0
70,329,1,1.630925833333333333333333333,0.5990137724412812,0.0,8,0
62,139,1,0.3278675,0.45041070953011514,0.0,1,0
78,306,1,0.6668147222222222222222222222,0.6028329078108072,0.0,2,0
18,257,1,2.240381944444444444444444444,0.5907007518357464,0.0,8,0
43,334,0,2.366301111111111111111111111,0.48165520149887653,0.0,8,0
66,126,1,0.4701452777777777777777777778,0.5414028625403132,0.0,2,0
98,191,0,1.585765555555555555555555556,0.5231519233257997,0.0,7,0
49,132,0,3.092400833333333333333333333,0.5890001014229798,0.0,10,0
20,181,0,2.058420833333333333333333333,0.5737019267219764,0.0,8,0
77,336,1,0.7600108333333333333333333333,0.5544128865003586,0.0,3,0
4,350,1,0.7981716666666666666666666667,0.5665241001467956,0.0,3,0
6,152,0,2.056953055555555555555555556,0.5210803520900232,0.0,9,0
19,185,1,3.076146388888888888888888889,0.5363640752208384,0.0,9,0
7,254,0,0.4244861111111111111111111111,0.5019732849164442,0.0,2,0
80,300,0,1.167264444444444444444444444,0.537420320723738,0.0,4,0
40,52,0,1.931004444444444444444444444,0.4885878387619467,0.0,6,0
56,220,1,0.3903219444444444444444444444,0.526779942214489,0.0,1,0
12,75,1,1.986430833333333333333333333,0.5927034433858067,0.0,6,0
1,160,1,2.527686944444444444444444444,0.5576202793667714,0.0,9,0
54,66,1,2.325012222222222222222222222,0.5474973129558152,0.0,8,0
57,192,0,1.965866388888888888888888889,0.5376292075596604,0.0,7,0
13,177,0,2.747283888888888888888888889,0.5979276045934477,0.0,9,0
9,318,0,0.3937305555555555555555555556,0.45875536070929634,0.0,1,0
59,195,1,0.4072766666666666666666666667,0.6147733396954007,0.0,2,0
99,340,1,2.356243611111111111111111111,0.5826183625363878,0.0,9,0
79,274,0,2.090415555555555555555555556,0.5631241856349839,0.0,9,0
10,120,1,1.341048055555555555555555556,0.5159622222185135,0.0,6,0
55,164,1,0.5447561111111111111111111111,0.5697162359952926,0.0,2,0
47,70,1,0.3311758333333333333333333333,0.5932038640603423,0.0,1,0
73,124,0,0.34918,0.6433852485248021,0.0,1,0
46,151,0,1.382115833333333333333333333,0.49810516751474804,0.0,5,0
68,130,1,0.4205155555555555555555555556,0.5284011519768022,0.0,2,0
69,80,0,0.3519363888888888888888888889,0.6354138089550866,0.0,1,0
48,206,1,2.415073333333333333333333333,0.5257145296139963,0.0,8,0
74,285,1,0.7974858333333333333333333333,0.4323587313942287,0.0,3,0
35,123,1,2.039330555555555555555555556,0.5600738985320697,0.0,8,0
14,327,1,1.364650277777777777777777778,0.5905492419705671,0.0,6,0
28,323,0,1.853472777777777777777777778,0.5140225976381613,0.0,7,0
91,355,1,0.3084355555555555555555555556,0.5087109372019768,0.0,1,0
11,30,1,2.348452777777777777777777778,0.5602046122917762,0.0,9,0
90,254,0,0.6930658333333333333333333333,0.623684898018837,0.0,2,0
36,101,0,1.851902777777777777777777778,0.635785519468541,0.0,7,0
39,309,1,0.3587402777777777777777777778,0.5804658407966296,0.0,3,0
16,362,0,0.3736761111111111111111111111,0.5386481672525406,0.0,2,0
58,14,0,1.669166944444444444444444444,0.5760047793388366,0.0,5,0
65,146,1,2.193026111111111111111111111,0.5168807981045622,0.0,9,0
71,71,0,2.418173055555555555555555556,0.516129620717122,0.0,10,0
34,143,0,2.1700225,0.5452156201714561,0.0,9,0
82,338,1,0.4140961111111111111111111111,0.6474932634404728,0.0,2,0
51,60,1,1.866684722222222222222222222,0.5547124301285847,0.0,10,0
37,346,1,0.8743575,0.5933440343841262,0.0,3,0
84,366,0,1.031166111111111111111111111,0.5964203678347446,0.0,4,0
44,271,1,1.730598055555555555555555556,0.5082880394025282,0.0,5,0
41,149,0,2.284995555555555555555555556,0.5541814647041834,0.0,10,0
89,185,1,1.843696388888888888888888889,0.5444585831406025,0.0,7,0
17,144,1,2.890889444444444444444444444,0.532914983899626,0.0,11,0
96,94,0,0.4750438888888888888888888889,0.6085175052285194,0.0,2,0
33,338,0,0.8902136111111111111111111111,0.530099144950509,0.0,3,0
67,344,0,2.416265277777777777777777778,0.5843455116114309,0.0,8,0
100,100,0,1.097558055555555555555555556,0.5526165905697592,0.0,4,0
27,182,1,0.6732277777777777777777777778,0.6905764592811465,0.0,2,0
26,33,0,0.2473475,0.5335520058870316,0.0,1,0
76,111,1,1.284398055555555555555555556,0.5215904212767078,0.0,4,0
29,48,0,1.405431944444444444444444444,0.5680816516280174,0.0,6,0
31,212,1,2.572733055555555555555555556,0.6334817883545074,0.0,10,0
42,249,0,0.7639088888888888888888888889,0.48826293804143606,0.0,3,0
23,296,0,2.757719444444444444444444444,0.5312344447160379,0.0,9,0
97,33,1,0.1985238888888888888888888889,0.6621211767196655,0.0,1,0
